,artist,play_count,tags,colors
0,Opeth,668,progressive metal,#636EFA
1,Between the Buried and Me,186,progressive metal,#636EFA
2,King Gizzard & The Lizard Wizard,165,psychedelic rock,#00CC96
3,Lucifer,154,doom metal,#636EFA
4,Gojira,139,death metal,#636EFA
5,Electric Citizen,132,psychedelic rock,#00CC96
6,Blood Ceremony,123,doom metal,#636EFA
7,Amy Winehouse,109,soul,#FF97FF
8,Queens of the Stone Age,103,stoner rock,#00CC96
9,Skeletonwitch,100,thrash metal,#636EFA
10,Mastodon,98,progressive metal,#636EFA
11,Ghost,88,heavy metal,#636EFA
12,Death,86,death metal,#636EFA
13,Frozen Crown,82,power metal,#636EFA
14,Avenged Sevenfold,78,metalcore,#636EFA
15,Death from Above 1979,73,indie,#19D3F3
16,The Oath,67,doom metal,#636EFA
17,Animals as Leaders,63,progressive metal,#636EFA
18,Rush,61,progressive rock,#00CC96
19,David Maxim Micic,52,progressive metal,#636EFA
20,Crisix,51,thrash metal,#636EFA
21,Baroness,48,sludge,#636EFA
22,Childish Gambino,46,hip-hop,#B6E880
23,Nightwish,44,symphonic metal,#636EFA
24,Coven,39,psychedelic rock,#00CC96
25,CHON,39,math rock,#00CC96
26,Ne Obliviscaris,37,progressive black metal,#636EFA
27,Intronaut,37,progressive metal,#636EFA
28,Tame Impala,37,psychedelic rock,#00CC96
29,Jess and the Ancient Ones,36,psychedelic rock,#00CC96
30,Devin Townsend Project,35,progressive metal,#636EFA
31,Plini,34,progressive metal,#636EFA
32,Satan,33,heavy metal,#636EFA
33,TesseracT,33,progressive metal,#636EFA
34,Destiny Potato,33,progressive metal,#636EFA
35,Mount Salem,33,doom metal,#636EFA
36,Hans Zimmer,32,soundtrack,#EF553B
37,Windir,31,black metal,#636EFA
38,MCC [Magna Carta Cartel],31,post-rock,#00CC96
39,Night Viper,31,heavy metal,#636EFA
40,Ongkara,30,progressive rock,#00CC96
41,Moon Tooth,30,progressive metal,#636EFA
42,Kendrick Lamar,28,hip-hop,#B6E880
43,Devin Townsend,27,progressive metal,#636EFA
44,Cynic,27,progressive metal,#636EFA
45,Tiger Army,26,psychobilly,#FF6692
46,Temperance,26,hardcore,#636EFA
47,Chimp Spanner,26,progressive metal,#636EFA
48,Brand New,25,emo,#EF553B
49,Pink Floyd,24,progressive rock,#00CC96
50,Daft Punk,23,electronic,#FECB52
51,Dethklok,23,death metal,#636EFA
52,Middle Class Rut,23,alternative rock,#FFA15A
53,Psychedelic Witchcraft,23,psychedelic rock,#00CC96
54,Kyuss,22,stoner rock,#00CC96
55,Prototype,22,progressive metal,#636EFA
56,Jinjer,22,metalcore,#636EFA
57,Lady Gaga,22,pop,#FF97FF
58,Subvision,21,indie rock,#19D3F3
59,Red Hot Chili Peppers,20,rock,#00CC96
60,Creedence Clearwater Revival,20,classic rock,#00CC96
61,The Mars Volta,20,progressive rock,#00CC96
62,Behemoth,20,death metal,#636EFA
63,White Stones,20,death metal,#636EFA
64,The Necromancers,20,doom metal,#636EFA
65,Carpenter Brut,20,synthwave,#FECB52
66,Lacuna Coil,19,gothic metal,#636EFA
67,First Signs Of Frost,19,post-hardcore,#636EFA
68,Year of the Goat,19,psychedelic rock,#00CC96
69,Black Sabbath,18,heavy metal,#636EFA
70,My Chemical Romance,18,rock,#00CC96
71,Witchcraft,18,doom metal,#636EFA
72,The Shins,18,indie,#19D3F3
73,Doomriders,18,hardcore,#636EFA
74,Emptyself,18,progressive rock,#00CC96
75,Obscura,18,technical death metal,#636EFA
76,At the Gates,17,melodic death metal,#636EFA
77,Grizzly Bear,17,indie,#19D3F3
78,Orne,17,progressive rock,#00CC96
79,Dance Gavin Dance,17,post-hardcore,#636EFA
80,Means End,17,progressive metal,#636EFA
81,Sublime,16,ska,#EF553B
82,Ennio Morricone,16,soundtrack,#EF553B
83,Agatus,16,black metal,#636EFA
84,Vektor,16,thrash metal,#636EFA
85,Pallbearer,16,doom metal,#636EFA
86,Chthe'ilist,16,death metal,#636EFA
87,Tool,15,progressive metal,#636EFA
88,Lenny Kravitz,15,rock,#00CC96
89,Fleetwood Mac,15,classic rock,#00CC96
90,A Perfect Circle,15,alternative rock,#FFA15A
91,Cire,15,progressive rock,#00CC96
92,Broken Bells,15,indie,#19D3F3
93,"Tyler, The Creator",15,hip-hop,#B6E880
94,Art By Numbers,15,progressive metal,#636EFA
95,Mestís,15,jazz,#EF553B
96,Nirvana,14,grunge,#EF553B
97,The White Stripes,14,rock,#00CC96
98,Weezer,14,rock,#00CC96
99,Marilyn Manson,14,industrial,#EF553B
100,System of a Down,14,metal,#636EFA
101,Incubus,14,alternative rock,#FFA15A
102,Mötley Crüe,14,hard rock,#00CC96
103,London Philharmonic Orchestra,14,classical,#EF553B
104,Steven Wilson,14,progressive rock,#00CC96
105,Soen,14,progressive metal,#636EFA
106,Disperse,14,progressive metal,#636EFA
107,Demob Happy,14,grunge,#EF553B
108,Lana Del Rey,14,indie,#19D3F3
109,Kiss,13,hard rock,#00CC96
110,311,13,alternative,#FFA15A
111,blink-182,13,punk rock,#AB63FA
112,Misfits,13,horror punk,#AB63FA
113,ABBA,13,pop,#FF97FF
114,Circa Survive,13,indie,#19D3F3
115,The Weeknd,13,rnb,#B6E880
116,Oceans of Slumber,13,progressive metal,#636EFA
117,Sianvar,13,post-hardcore,#636EFA
118,Luciferian Light Orchestra,13,occult rock,#00CC96
119,The Doors,12,classic rock,#00CC96
120,Van Halen,12,hard rock,#00CC96
121,Britney Spears,12,pop,#FF97FF
122,Dream Theater,12,progressive metal,#636EFA
123,Chevelle,12,alternative rock,#FFA15A
124,Ramones,12,punk,#AB63FA
125,Marcy Playground,12,alternative,#FFA15A
126,Manilla Road,12,heavy metal,#636EFA
127,The Black Keys,12,blues rock,#00CC96
128,The Faceless,12,technical death metal,#636EFA
129,Power Glove,12,synthwave,#FECB52
130,Real Estate,12,lo-fi,#EF553B
131,Nine Inch Nails,11,industrial,#EF553B
132,Electric Wizard,11,doom metal,#636EFA
133,Audioslave,11,rock,#00CC96
134,Guns N' Roses,11,hard rock,#00CC96
135,Slipknot,11,nu metal,#636EFA
136,Fu Manchu,11,stoner rock,#00CC96
137,Bathory,11,black metal,#636EFA
138,The Devin Townsend Band,11,progressive metal,#636EFA
139,Desert Sessions,11,stoner rock,#00CC96
140,Ged Grimes,11,folk,#EF553B
141,Rihanna,11,pop,#FF97FF
142,In This Moment,11,metalcore,#636EFA
143,Angel Vivaldi,11,progressive metal,#636EFA
144,CRX,11,indie rock,#19D3F3
145,Artifex Pereo,11,post-hardcore,#636EFA
146,Them Crooked Vultures,11,hard rock,#00CC96
147,Pomegranate Tiger,11,progressive metal,#636EFA
148,Purity Ring,11,electronic,#FECB52
149,David Bowie,10,rock,#00CC96
150,Queen,10,classic rock,#00CC96
151,Led Zeppelin,10,classic rock,#00CC96
152,The Beatles,10,classic rock,#00CC96
153,Strapping Young Lad,10,industrial metal,#636EFA
154,Heart,10,classic rock,#00CC96
155,Mondo Generator,10,stoner rock,#00CC96
156,Drake,10,hip-hop,#B6E880
157,High on Fire,10,stoner metal,#636EFA
158,Kings of Leon,10,rock,#00CC96
159,Deathspell Omega,10,black metal,#636EFA
160,Merrow,10,progressive metal,#636EFA
161,Tribulation,10,death metal,#636EFA
162,The Dear Hunter,10,progressive rock,#00CC96
163,Red Fang,10,stoner rock,#00CC96
164,Cage the Elephant,10,indie rock,#19D3F3
165,Alabama Shakes,10,blues,#00CC96
166,Polyphia,10,progressive metal,#636EFA
167,The Rolling Stones,9,classic rock,#00CC96
168,Soundgarden,9,grunge,#EF553B
169,Tom Waits,9,blues,#00CC96
170,Linkin Park,9,rock,#00CC96
171,Slayer,9,thrash metal,#636EFA
172,Rammstein,9,industrial metal,#636EFA
173,The Runaways,9,hard rock,#00CC96
174,Suicidal Tendencies,9,hardcore,#636EFA
175,Porcupine Tree,9,progressive rock,#00CC96
176,Meshuggah,9,progressive metal,#636EFA
177,Evanescence,9,rock,#00CC96
178,Metric,9,indie,#19D3F3
179,Victoria,9,neofolk,#EF553B
180,Alarum,9,progressive metal,#636EFA
181,The Hillbilly Moon Explosion,9,rockabilly,#FF6692
182,Mgła,9,black metal,#636EFA
183,Vampire Weekend,9,indie,#19D3F3
184,Die Antwoord,9,hip-hop,#B6E880
185,Outrun The Sunlight,9,progressive metal,#636EFA
186,Eminem,8,rap,#B6E880
187,Supergrass,8,britpop,#FF97FF
188,Madonna,8,pop,#FF97FF
189,Santana,8,rock,#00CC96
190,Pearl Jam,8,grunge,#EF553B
191,Foo Fighters,8,rock,#00CC96
192,Bon Jovi,8,rock,#00CC96
193,Justin Timberlake,8,pop,#FF97FF
194,DGM,8,progressive metal,#636EFA
195,Indukti,8,progressive metal,#636EFA
196,Katy Perry,8,pop,#FF97FF
197,Intervals,8,progressive metal,#636EFA
198,Vasudeva,8,post-rock,#00CC96
199,The Safety Fire,8,progressive metal,#636EFA
