Group,Activity type,Duration,From,To,Comment,Group,Activity type,Duration,%
,Sleeping,10:28:10,2020-01-01 20:38:54,2020-01-02 7:07:04,,,Computer,11:14:54,45.85
,Toilet,0:01:51,2020-01-01 20:36:33,2020-01-01 20:38:24,,Computer,Internet,10:25:28,42.5
Computer,Internet,2:19:09,2020-01-01 18:17:20,2020-01-01 20:36:29,,Computer,Movies/TV,0:28:40,1.95
Computer,Movies/TV,0:28:40,2020-01-01 17:48:38,2020-01-01 18:17:18,,Computer,Games,0:20:46,1.41
,Eating,0:31:50,2020-01-01 17:05:58,2020-01-01 17:37:48,,,Sleeping,7:17:42,29.74
Computer,Internet,1:03:40,2020-01-01 16:44:55,2020-01-01 17:48:35,,,Hobby,2:57:21,12.05
Housework,Cooking,0:11:09,2020-01-01 16:29:44,2020-01-01 16:40:53,,Hobby,Writing,2:57:21,12.05
,Toilet,0:02:11,2020-01-01 16:27:30,2020-01-01 16:29:41,,,Housework,1:32:29,6.28
Computer,Internet,1:32:32,2020-01-01 14:54:56,2020-01-01 16:27:28,,Housework,Cleaning,1:21:20,5.53
Hobby,Writing,1:39:05,2020-01-01 13:15:47,2020-01-01 14:54:52,,Housework,Cooking,0:11:09,0.76
Computer,Games,0:13:07,2020-01-01 13:02:37,2020-01-01 13:15:44,,,Eating,0:31:50,2.16
Computer,Internet,0:58:18,2020-01-01 12:04:18,2020-01-01 13:02:36,,,Grooming,0:24:27,1.66
Hobby,Writing,1:18:16,2020-01-01 10:45:36,2020-01-01 12:03:52,,,Toilet,0:14:38,0.99
Computer,Internet,0:37:25,2020-01-01 10:05:50,2020-01-01 10:43:15,,,,,
,Toilet,0:01:10,2020-01-01 10:04:14,2020-01-01 10:05:24,,,,,
Computer,Internet,1:11:51,2020-01-01 8:52:21,2020-01-01 10:04:12,,,,,
,Toilet,0:02:16,2020-01-01 8:48:34,2020-01-01 8:50:50,,,,,
Housework,Cleaning,1:21:20,2020-01-01 7:27:13,2020-01-01 8:48:33,,,,,
,Grooming,0:24:27,2020-01-01 6:56:53,2020-01-01 7:21:20,,,,,
,Toilet,0:01:38,2020-01-01 6:55:14,2020-01-01 6:56:52,,,,,
Computer,Games,0:07:39,2020-01-01 6:45:42,2020-01-01 6:53:21,,,,,
Computer,Internet,2:42:33,2020-01-01 4:03:06,2020-01-01 6:45:39,,,,,
,Toilet,0:05:32,2020-01-01 3:56:43,2020-01-01 4:02:15,,,,,
,Sleeping,4:49:24,2019-12-31 23:07:13,2020-01-01 3:56:37,,,,,